"FMAID","Preferred Label","Parent FMAID"
30271,"Bony part of spinous process of second thoracic vertebra",30262
86123,"Wall of thoracic part of trachea",86120
326766,"Intranuclear mitochondrion",63835
72761,"Polar part of left superior frontal gyrus",70681
20622,"Communicating branch of left iliohypogastric nerve with left subcostal nerve",20619
46326,"Right geniohyoid",46325
51323,"Vein of right olfactory gyrus",51322
23308,"Inferior surface of clavicle",37010
16717,"Meningeal branch of fifth sacral nerve",11225
53349,"Nerve to zygomaticus major",53348
26891,"Compact bone of lamina of ninth thoracic vertebra",26131
268915,"Vasculature of breast",74722
268917,"Vasculature of male breast",268915
268919,"Vasculature of right male breast",268917
27719,"Synovial membrane of articular capsule of right T12-L1 vertebral arch joint",27696
277191,"Molecular layer of cortex of anterior lobe of cerebellum",277179
277193,"Molecular layer of cortex of posterior lobe of cerebellum",277179
277197,"Granular layer of segment of cerebellar cortex",277161
277199,"Granular layer of cortex of vermis of cerebellum",277197
277195,"Molecular layer of cortex of flocculonodular lobe of cerebellum",277179
70441,"Anterior segmental hepatic artery",71709
53991,"Muscle fasciculus of right masseter",53990
64726,"Synovial membrane of articular capsule of proximal interphalangeal joint of right second toe",64725
326453,"Bone marrow-derived hemopoietic stem cell",86475
79452,"Trunk of right zygomatico-orbital artery",79451
26296,"Posterior surface of lobe of right lung",18166
262962,"Lumen of trunk of anterior ventricular branch of circumflex coronary artery",262960
262960,"Lumen of trunk of ventricular branch of circumflex coronary artery",262950
262964,"Lumen of trunk of posterior ventricular branch of circumflex coronary artery",262960
262966,"Lumen of trunk of first posterior ventricular branch of circumflex coronary artery",262964
262968,"Lumen of trunk of second posterior ventricular branch of circumflex coronary artery",262964
38247,"Skin of lateral part of arm",322289
323626,"Superficial fascia of palmar part of finger",327728
32548,"Left infraspinatus",32546
57623,"Descending process of right lacrimal bone",57622
56381,"Distal surface layer of left third upper molar tooth",56376
84038,"Set of striate nuclei",256381
236006,"Medial lymphatic tree of hand",235922
236008,"Medial part of hand",24945
236004,"Lateral lymphatic tree of hand",235922
236000,"Ulnar proper of lymphatic tree of free upper limb segment",235686
40723,"Perimysium of left extensor carpi radialis brevis",40718
53823,"Perimysium of right incisivus labii superioris",53822
35736,"Bony part of diaphysis proper of second metatarsal bone",35583
8479,"Crest of neck of left tenth rib",8425
8471,"Inferior border of right tenth costal cartilage",8444
8473,"Head of left tenth rib",8419
8478,"Neck of left tenth rib",8424
8475,"Articular facet of head of left tenth rib",8421
8472,"Left tenth rib",8418
8470,"Superior border of right tenth costal cartilage",8443
54957,"Right supramastoid crest",54956
72585,"Nucleus raphe obscurus",258772
73952,"Left dorsal spinocerebellar tract of spinal cord",73950
54121,"Epimysium of left superior oblique",54119
24310,"Right transverse foramen of sixth cervical vertebra",24309
43103,"Anterior surface of diaphysis of second metatarsal bone",43086
46050,"Medial head of second dorsal interosseous of right foot",46046
29226,"Articular cartilage of right costal facet of body of seventh thoracic vertebra",26758
292261,"Postganglionic segment of posterior root of right tenth thoracic spinal nerve",292079
292265,"Postganglionic segment of posterior root of right eleventh thoracic spinal nerve",292081
292267,"Postganglionic segment of posterior root of left eleventh thoracic spinal nerve",292081
292263,"Postganglionic segment of posterior root of left tenth thoracic spinal nerve",292079
292269,"Postganglionic segment of posterior root of right twelfth thoracic spinal nerve",292083
51014,"Vein of right caudate nucleus",51011
17692,"Region of renal tubule",86307
54677,"Right zygomatic process of frontal bone",54389
26465,"Right pedicle of seventh cervical vertebra",26463
20454,"Loose endopelvic fascia",19097
50661,"Posteromedial central branch of left posterior cerebral artery",50587
61313,"External part of left external acoustic tube",61305
64067,"Articular capsule of metatarsophalangeal joint of big toe",43578
29085,"Compact bone of left posterolateral part of body of tenth thoracic vertebra",29063
290855,"Surface of first upper molar tooth",290851
290853,"Surface of lower molar tooth",290849
290857,"Surface of right first upper molar tooth",290855
290859,"Surface of left first upper molar tooth",290855
290851,"Surface of upper molar tooth",290849
318768,"Tendon of mentalis",318738
31876,"Articular cartilage of auricular surface of sacrum",28963
318762,"Tendon of levator anguli oris",318738
318764,"Tendon of depressor anguli oris",318738
318766,"Tendon of transversus menti",318738
318760,"Tendon of depressor labii inferioris",318738
55558,"Superior parathyroid gland",13890
38049,"Trabecular bone of left articular process of third lumbar vertebra",38047
14984,"Mucosa of colon",85387
78699,"Trunk of nerve to scalenus medius",14383
84755,"Type XXIII collagen",67342
50912,"Left external nasal vein",50910
22930,"Tributary of subclavian vein",77884
84520,"Parenchyma of anterior part of superior lingular subsegment",84518
15255,"Posterior radicular branch of spinal branch of second lumbar artery",15251
59238,"Superior border of perpendicular plate of left palatine bone",59236
326160,"Surface of lower abdomen",61551
59702,"Corneoscleral part of sclera",59701
21539,"Inferior rectal nerve plexus",5910
35145,"Medial surface of medial tubercle of left talus",35143
30440,"Superior surface of posterolateral part of body of vertebra",13565
304404,"Anterior region of medial condyle of left tibia",304400
304406,"Posterior region of medial condyle of tibia",33123
304402,"Anterior region of medial condyle of right tibia",304400
304408,"Posterior region of medial condyle of right tibia",304406
304400,"Anterior region of medial condyle of tibia",33123
45389,"Lateral terminal branch of right deep fibular nerve",44776
13563,"Posterior surface of body of vertebra",65159
20729,"Septum of scrotum",20437
21186,"Tributary of deep circumflex iliac vein",78204
326654,"Orifice of semicircular duct",3724
74454,"Epithelium of alveolus of lactiferous gland",74445
329207,"Sappey ligament",329206
281402,"Brodmann area 28 of right entorhinal area",281399
281404,"Brodmann area 28 of left entorhinal area",281399
281408,"Brodmann area 34 of entorhinal area",271271
56831,"Mesiolingual cusp of upper first molar tooth",56820
25877,"Trabecular bone of superior articular process of sixth cervical vertebra",25621
258772,"Nucleus of medulla oblongata",83840
258776,"Synovial joint of free limb segment",7501
